max_pred,planck_z,MCXC,ACT,Abell
0.05,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0
0.15000000000000002,33.0,70.0,170.0,183.0
0.2,19.0,45.0,117.0,133.0
0.25,16.0,37.0,74.0,78.0
0.30000000000000004,8.0,29.0,62.0,55.0
0.35000000000000003,5.0,22.0,44.0,37.0
0.4,6.0,12.0,44.0,34.0
0.45,4.0,15.0,36.0,33.0
0.5,2.0,9.0,46.0,27.0
0.55,3.0,7.0,37.0,24.0
0.6000000000000001,0.0,7.0,21.0,23.0
0.65,0.0,4.0,16.0,9.0
0.7000000000000001,1.0,3.0,19.0,11.0
0.75,0.0,6.0,23.0,7.0
0.8,1.0,4.0,12.0,15.0
0.8500000000000001,4.0,4.0,10.0,11.0
0.9,2.0,9.0,12.0,8.0
0.9500000000000001,4.0,3.0,17.0,16.0
1.0,5.0,11.0,21.0,24.0
